Shaker Number,2,Box/Tub Number,Number of pieces,From who if gifted,Where,,How much Grandma paid for them,Theme,Jess Keepers?
503,Chinese people in white outfits,1,2,,"Rummage Sale, Fish Creek, WI",06-1985,$2.50,,No
495,Hillbilly Couple,1,2,Randy and Mary Schuettpelz,,06-1985,,,No
838,Teapot tray and glass shakers (currenly missing tray?) 2 small shakers with silver tops,1,3,,"Buy, Sell, Swap",8-31-2002,$0.50,,No
108,Brown log cabin and tree,2,2,,South Dakota,1970,,,Value
219,Snowmen with green tree hats,2,2,,Milwaukee,1974,$1.50,Christmas,Value
879,*Marked as 878 in book*. white with Universial Studios California text and image,2,2,,"Rummage sale, Algoma",7-12-2003,$1.00,Location,No
543,"Pink Cowboy boots, ""The Alamo"" shield",2,2,Lee and Arleen,"San Antonio, TX",5-2-1988,,Location,No
692,White ceramic with Canada flag,2,2,,Sault St. Marie,7-17-1998,$4.59,Country,No
636,"*Marked as 637 in book* Circle B Chuckwagon *One of the shields fell off, held on by tape",2,2,,"Rapid City, SD",6-23-1994,$4.00,,No
564,Las Vegas Slot Machines,2,2,Pastor Martins,,7-9-1989,,Location,No
658,Ceramic pipes with flowers,2,2,"Emma Oestreich (Rummage, 63rd birthday)",,03-1995,,,No
825,White with maple leaves,2,2,,Goodwill Shawno,3-13-2002,$0.99,,No
534,Christmas Ceramic mice (duplicate),2,2,Marian Dzurick,,12-1987,,Christmas,No
630,Kissing Mr. and Mrs. Claus.  Santa. has a toy bag.  Russ brand sticker,2,2,Maynard,,12-1993,,Christmas,No
436,Las Vegas Slot Machines (brown),2,2,Louie and Joyce,"Las Vegas, NV",1981,,Location,No
216,Christmas Snow couple with red hats,2,2,,,1974,$1.50,Christmas,No
142,"Confederate hat and state of Georgia, Parkcraft stamp on back of state",2,2,Louie and Joyce,Georgia,1972,,State,No
645,*Marked but description does't match*. Minnesota shakers with waterfall and Paul Bunyan & Babe,2,2,,,199?,,State,No
296,Igloo and state of Alaska,2,2,,Heatherhouse,1977,$1.25,State,No
710,"Black and white ceramic boots, Branson Missouri shield.  One shield missing",2,2,,"Branson, MO",05-1996,$3.99,Location,No
787,Short glass with silver tops,2,2,,"Sidewalk sales, Stu Grayling",6-2001,$1.00,,No
699,"Santa and ""P""ackages.  Duplicate with 815",2,2,,Fall Fest Days,9-1998,,Christmas,No
253,"Plymouth Rocks with ""1620"" on them, Spin Original sticker",2,2,Lois and Augie,"Plymouth, MA",1975,$1.35,Location,Value
130,White ceramic with pink flowers and grace and prayer on back,2,2,Maynard,Christmas,1971,,,Value
241,"Gray crock with orange flowers, Takahashi sticker",2,2,,"Egg Harbor, WI",1975,$2.08,,Value
801,White ceramic with Georgia and a bird in a tree,2,2,,"Flea Market, Shawno",7-8-2001,$1.00,State,No
131,"Japanese Lanterns, Lefton brand",2,2,Louie and Joyce,,1971,,,Value
288,Teepees with Montana text,2,2,,Montana,1976,,State,Value
47,"Cactus with Arizona text, cactus ""handle""",2,2,Lois and herman,Arizona,1968,,State,Value
800,"White with gold tops, Alaska text and images",2,2,,"Flea Market, Shawno",7-8-2001,$1.00,State,No
106,"Covered wagons from Chadron, Nebraska",2,2,,Nebraska,1970,,Location,Value
501,"White covered wagons with ""Wonderful Wyoming"" and bronco rider",2,2,,"Rummage salte, Marinette",9-1-1985,$2.00,State,No
504,"Gold handpainted.  Fruit hanging over lantern, looks like peach colored paint for the rest",2,2,,"Rummage Sale, Fish Creek, WI",06-1985,$2.50,,Value
380,"Hawaii with flowers, palm trees, tiki statues",2,2,Lois and Augie,,3-8-1982,,State,No
193,Rocking Horse and boy - 1 piece but they separate,2,2,Maynard,,12-1973,$1.49,,Value
879,"Black, Michigan text and images",2,2,,"Rummage Sale, Algoma",7-12-2003,$0.10,State,No
514,Santa and Mrs. Claus,2,2,Maynard,,05-1985,$0.25,Christmas,No
824,White doves with holly/berries (grandma marked avon),2,2,Rose Hein (70th birthday),,3-8-2002,,,No
598,"Crystal Bohemia Glam brand, made in Czechoslovakia",2,2,,Union Hardware,1991,$6.99,,No
572,"Ceramic girls in pink dresses, praying with prayer text on dress",2,2,Barb Schuettpelz,,3-8-1990,,,No
571,"Clear glass with Christmas Trees, silver tops",2,2,Lois and Augie,,12-1989,,Christmas,No
122,"Ceramic girls in yellow dresses, praying with prayer text on dress",2,2,,"Madison, WI",1971,$1.00,,Value
651,Snowman (head separates),2,2,,Egg Harbor Flea Market,10-16-1994,,Christmas,Maybe
776,Ceramic with butterflies,2,2,,"Branson, MO",9-2000,,,No
671,Teddy bears on sled,2,3,Jean Regal,,12-1997,,,No
713,Gold pine cones,2,2,Maynard,Shawno,12-1996,,,No
231,Burro and boy with hat riding burro,2,2,,"Hinton, WI",1975,$1.25,,Value
180,Fireplace and rocking chair,2,2,,"Copper Harbor, MI",1973,,,Value
704,Ceramic bunnies with flowers,2,2,Lee and Arleen,"Norfolk, VA",11-19-1995,,,No
39,Heavy Glass with pointed silver tops,2,2,,Shawno,1969,,,Value
826,Gray jugs,2,2,,LCFS Thrift,3-14-2002,$0.50,,No
782,Penguins on sled,A,3,"Pam, Dennis, Jennifer, Jessica Staude",,1-6-2001,,,Maybe
851,"White ceramic, with Iowa text and imagery.  Lipco brand sticker",2,2,,Townsend Church Bazaar,10-5-2002,$0.50,State,No
320,Gingerbread couple,2,2,Louie and Joyce,Antigo,1978,,Christmas,No
533,Christmas Ceramic mice,2,2,Pat Disck,,12-1987,,Christmas,No
99,Bibles with praying hands (one had pepper in it still),2,2,,,1970,,,Value
105,Pinecones (nebraska written on bottom),2,2,,"Chadron, NE",1970,,,No
525,Mallard Ducks,2,2,"Secret Pal, 36th anniversary",,06-1987,,,Maybe
857,"MatreeD server dressed in tux, with glass sharkers on back",2,3,Barb and Ken Jehnke,,12-25-2002,,,No
733,Gingerbread man and house,2,2,,Bought from school (band),11-1998,$9.00,Christmas,Mom
738,Red car and gas pump,2,2,,"Flea Market, Shawno",5-2-1999,$1.50,,No
319,Christmas dogs (X-H704),2,2,,"Christmas, MI",7-1978,$3.98+tax,Christmas,No
192,Green with Holly (XA-4J),2,2,Emma Oestrich,,1973,,Christmas,Value
618,Red car with Christmas tree on roof,2,2,Jennifer and Jessica Staude,,12-18-1992,,Christmas,Yes
840,Santas,2,2,,"Buy, sell, swap",8-31-2002,$0.33,Christmas,No
877,white with pointsettias,2,2,,Our Redeemer Church Sale,7-4-2003,,Christmas,No
653,Santa and Mr. Teddy bears,2,2,"Lori Ann, Tim, Carrie Ann Schuettpelz",,12-1994,,Christmas,No
390,"Christmas, Michigan with text and images",2,2,,"Christmas, MI",07-1982,,Location,No
353,"Angel and Christmas tree (1978, Enesco stamped)",2,2,Maynard,Milwaukee,12-1979,,Christmas,No
833,Barn with silo,5,2,Barb Schuettpelz,,8-24-2002,,,
575,Ceramic ducks,5,2,,"Cash Liquidators, Shawano",3-23-1990,$1.49,Animals,
821,Ceramic apples,5,2,Tim and Sue,,1-5-2002,,,
69,White Owls,5,2,,,1969,,,
767,Mushrooms,5,2,Lou Friedland,,7-21-2000,,,
107,Indian and tee pee,5,2,,"Mitchell, South Dakota",1970,,,
486,Owls on stumps,5,2,Emma Oestreich,West Virginia,12-1984,,,
852,Black plastic lamps with rock/flowers painting,5,2,,Townsend Church Bazaar,10-5-2002,$0.25,,Value?
849,Pot bellied Stove with tulips,5,2,Marlene (friend of Barb Yanke),,9-29-2002,,,Value?
736,Watermelon,5,2,Staude Family,,4-1999,,,
810,Ceramic bunny on eggmobile,5,2,,"Buy, sell, swap",9-1-2001,$2.00,,
398,Glass and black wrought hanging owls (no numbers on shakers) with black stand,5,3,Randy and Mary Schuettpelz,,1982,,,Value?
485,Black and white speckled hens (Enesco sticker),5,2,Mike and Mitsy Baumgard,,12-1984,,,
888,Washington DC,5,2,,Rummage Sale,5-2003,,Location,
827,Cap'N Pepper and Old Salty ,5,2,,Goodwill,4-18-2002,$4.00,,
817,Red Plastic with stand (A Fair Shake ALL-WAYS ARNOLD GREEN),5,3,,"Thrift Store, Shawano",11-8-2001,$0.40,,
749,My House and Kitchen Prayer Chefs,5,2,,Flea Market Lake Tomahawk,6-26-1999,$1.00,,
705,White Reindeer with red ornament in antlers (LOCOMO Brand),5,2,,Liquidators,12-4-1995,$0.99,,
585,"Copper Indians, Colorado Shield on each",5,2,Pam and Dennis Staude,"Silverton, Colorado",8-1998,,,
25,"Donkeys with brown jugs, donkey is pulling trailer containing both.  Ruby Falls, Lookout Mountain, TN",5,2,,Tennessee,1969,,,Value?
596,Silver stand and hammers.  Made in Occupied Japan,5,3,Lee gave Arleen's mother,,2-1992,,,Value?
889,Clear plastic with yellow tops,5,2,,Buy sell swap,5-2003,0,,
104,Totem poles,5,2,,"Terry Peak, SD",1970,,,
727,Glass with Japanese painting,5,2,,"Yard Sale, Mukwonago",9-7-1997,$2.00,,
626,"Branson, Missouri with handles",5,2,,"Branson, MO",4-18-1993,$4.49,,
321,Hand painted from Japan with gold tops,5,2,,,7-1978,$3.50,,
593,40 Ruby Anniversary,5,2,"Lori Ann, Tim, Carrie Ann",,6-23-1991,,,
432,Christmas Trees with presesnts,5,2,,Spurgeons,11-1983,$6.24,,
156,"I rule the Roost/Rooster tall shite with stickers (our own imports, Japan)",5,2,J. Larsen,Milwaukee,1972,,,
55,The old Oregon trail pitchers with image,5,2,Joyce Larsen,Oregon,1968,,,
144,"God Bless our home with house image, gold tops (Victoria Ceramics)",5,2,Mary Hasselquist,,1972,,,
434,"Silver with clear grapes, grape design.  Made in Hong Kong",5,3,Lee Johnson,,11-1983,,,Value?
518,White ceramic with Arkansas Razorbacks logo,5,2,,"Booger Hallow, AR",6-1986,$0.98,,
546,"Amish Country with horse and buggy, handles (Lipco sticker)",5,2,,"Sugar Creek, OH",6-10-1988,$2.75,,
587,Yellow shaker with house and tree on water.  Made in Japan,5,2,,"Garage Sale, Shawano",9-29-1990,$2.00,,
701,Souvenir of Philadelphia,5,2,,"Flea Market, Shawano",8-18-1985,$0.35,,
74,White ceramic with Texas flag and images,5,2,,Texas,1968,,,
802,Tall yellow ceramic with Arizona,5,2,,"Flea Market, Shawano",7-8-2001,$1.00,,
660,Ceramic white with pink flowers,5,2,Rita Mason,,3-1995,,,
248,Grace before/after meals prayers on white ceramic,5,2,Emma Oestrich,,1975,,,
542,"White ceramic with handles ""I heart North Carolina"" and rainbow",5,2,Lee and Arleen,,5-2-1988,,,
455,"White ceramic with rainbow ""Look for the rainbow"", dulpicate w/ 1080",5,2,,Green Bay Liq. Store,3-1984,$0.99,,
560,Silver Dollar City heart shaped ceramic with flowers,5,2,,"Silver Dollar City, MO",6-1989,$4.00,,
725,"Ceramic with horse and wagon, Home of Laura Ingalls Wilder",5,2,,"Walnut Grove, MN",8-2-1997,$3.00,,
83,"Yellow ""New Jersey - Pennsylvania - Ohio Turnpikes""",5,2,Lois,,1970,,,
350,"Milwaukee County with bird, white and blue ceramic",5,2,Randy and mary,,10-21-1979,,,
391,Cream colored ceramic with Pictured Rocks Cruises and bird,5,2,,"Munising, MI",7-25-1982,$3.12,,
579,White ceramic jugs with Dollywood logo and images,5,2,,"Dollywood, Pidgeon Forge",6-6-1990,$1.00,,
364,"Mickey Mouse Grilling, Walk Disney Productions",5,2,Joyce and Louie,,12-1980,,,
605,White Ceramic with Blue image and text.  Eureka Springs ,5,2,,"Eureka Springs, AR",5-1992,,,
37,"White ceramic with gold tops, Florida text, sea life",5,2,,Florida,1969,,,
212,"White with gold tops, Wisconsin Dells, images of bluffs",5,2,,"Wisconsin Dells, WI",1974,$1.49,,
545,"Iridescence ceramic shakers with Niagra Falls text and image, Canada side",5,2,,"Niagra Falls, Canada",6-8-1988,$8.49,,
152,Ceramic Disneyland bell shaped shakers with Tinkerbell and castle,5,2,Dale and Lucy,"Disneyland, CA",1972,,,
385,"Purple ceramic shakers with Niagra Falls, Canada text and images",5,2,Ed and Jeanette Staude,"Niagra Falls, Canada",6-1982,,,
566,White ceramic with black text Niagra Falls.  Plastic caps with springs and labels,5,2,,"Flea Market, Shawano",7-16-1989,$0.50,,
516,White with red text/images Abraham Lincoln's Home,5,2,,"Springfield, IL",6-1986,$3.95,,
627,White and blue ceramic with blue flowers Sticker: Handcrafted by Cart's The Ozarks,5,2,,Christ of Ozarks Shop,6-14-1993,$4.99,,
590,White ceramic with Eureka Springs and images,5,2,,"Eureka Springs, AR",6-1991,,,
379,White Bells with Cardinal (1 missing),5,1,Renae Steffeck,,12-1981,,,
999,"Two cow shaped creamers, one says Tennessee on it.",5,2,,,,,,
472,"White Ceramic pig with ""Las Vegas"" Written on it - Toothpick holder, S&P shakers (in box 7)",5 & 7,3,,,8-1984,$2.50,,
625,"Blue and white plastic.  ""Branson Missouri"" with guitars",4,2,,"Branson, MO",4-15-1993,$1.00,Location,
726,"White ceramic with colored flowers.  Pentagon shaped, no stoppers.  Marie's mom's shakers",4,2,Marie Peterson,,8-27-1997,,,Value?
561,Arkansas Razorbacks inside outline of state,4,2,,"Inspiration Point, AR",6-1989,,Location,
615,"White ceramic with flowers.  Labeled ""P"" and ""S""",4,2,,"Craft Sale, Suring, WI",11-1-1992,$2.50,,
27,"Tennessee ceramic with maps and images, gold tops",4,2,,Tennessee,1968,,Location,Value
610,"White and brown ceramic, Hawaii script and brown flora pattern",4,2,,"Flea Market, Shawano",8-29-1992,$3.00,Location,
631,"White ceramic with brown tops, Indiana with horse, cart and barn images, amish",4,2,Lois & Augie,Indiana,12-1993,,Location,
608,"White ceramic with New Orleans text and masks.  CR 1989 ""S.S.S - U.G.N""",4,2,Lori Ann (youth gathering),"New Orleans, LA",8-7-1998,,Location,
594,White ceramic jugs with Vermont and log house,4,2,Lee & Arleen,Vermont,09-1991,,,
599,"White ceramic.  Freeport Bahamas, with shell images",4,2,Barb Schuettpelz,Bahamas,1-1992,,,
455,"White ceramic with rainbow ""Look for the rainbow"", duplicate w/ 1080",4,2,,,,,,
714,White and blue ceramic with red flowers.  Bahamas,4,2,,Resale Sturgeon Bay,4-18-1997,$3.00,Location,
199,"Black-iron look scale, with plastic spoon",A,2,Lois & Augie,"Horseshoe Bend, AK",1973,,,Value
58,"White ceramic with gold decoration.  Space Needle, Seattle, Washington.  Made in Japan",4,2,,Washington,1968,,Location,Value
12,White ceramic with gold tops and stripes.  Pink flowers.  Illinois metal holder with circular image,4,3,,Illinois,1968,,Location,Value
90,"Pea green stein with ""An Irish Toast"".  Made in Japan",4,2,Joyce and Louie,Ozarks,1970,,,Value
723,Cream colored ceramic with brown tops.  Puerto Rico with images of boats and water,4,2,Dale & Lucy,,4-1997,,Location,
60,"Black ceramic with gold, red, and white artwork from Japan",4,2,Dennis Larsen,Japan,1968,,Location,Value
722,"Black bowling balls ""Christmas MI""",4,2,,"Christmas, MI",6-29-1997,,Location,
14,"White ceramic with gold tops, gold stand.  Florida with oranges artwork",4,3,Joyce Larsen,Florida,1966,,Location,Value
10,White ceramic with gold tops and stripes.  Pink flowers. Wisconsin dells metal holder with paper circular image,4,3,,"Wisconsin Dells, WI",1966,,,Value
730,White ceramic with gold detail.  Davis and Elkins Colleage emblem,4,2,,"Flea Market, Eagle River",10-4-1997,$1.00,Location,Value?
728,"Blue glass with Japanese painting, bottom says hand painted?",4,2,,"Yard Sale, Mukwonago, WI",9-7-1997,$3.00,Location,Value?
724,Iridescence ceramic shakers with Antigua text and sailboat and water picture,4,2,Dale & Lucy,,4-1997,,,
454,White ceramic with Walt Disney World and castle,4,2,Barb Schuettpelz,Florida,3-1984,,,
402,Mice with santa hats.  One mouse arm extends around the other.  Ron Gordon Designs,4,2,Randy and Mary,,12-1982,,,
619,"Bowling Ball and Bag.  ""The official Bowling Club"" sticker",4,2,,Outlet Store,11-1992,$1.79,,
731,Brown ceramic with rope detail and handles.  Pennsylvania Dutch.  People and images,4,2,,"Flea Market, Eagle River",10-4-1997,$1.00,Location,
15,Duplicate with 60.  Black shiny glass with Japanese design,4,2,Dale Kuss,Japan,1968,,,Value
519,Blue capped mushrooms,4,2,,"Flea Market, Townsend",8-9-1986,$1.00,Nature,Yes
163,Green glass lightbulbs.,4,2,Leon & Barb,,1972,,,Value
664,Guitar and Microphone. Five and Dime Inc. Sticker.  1991,4,2,,"Branson, MO",5-10-1995,$7.98,,
381,Kansas shaped with 3-D images and text,4,2,,"Flea Market, Shawano",5-2-1982,,,
61,Brown ceramic.  Montana with steer head and horse 3D images on each side. Golden Aspen by THRIFCO,4,2,Lois & Herman,,1968,,,Value?
337,Cream and brown ceramic jugs with stoppers on op.  The Coal House text and information,4,2,Emma Oestrich,"White Sulphur Springs, WV",3-1979,,,Value?
340,"Grand Ole Opry Wood stumps. Scotty Brand, Made in Japan",4,2,,"Nashville, TN",1979,$2.98,Location,Value?
24,"Stumps with Squirrels.  Limberlost Lunch Bond Falls, MI",4,2,,Michigan,1969,,Location,Value?
457,Ball Brand Mason jars with metal white and blue caps.  Duplicate with 532,4,2,,,5-1984,$2.00,,Value?
80,Blue glass with metal tops in metal holder.,4,2,Grace XX,"Winona, MN",1970,,,Value?
383,Glass Rootbeer mugs.  Plastic shaker top,4,2,,"Antique Store, Marinette, MI",6-1982,$5.25,,
318,Red glass.  AVON.,4,2,Grandma bought herself,,5-1978,$8.00,,Value
556,*Marked but actually 555 in book.  Black and white Music notes.  Made in Korea,4,2,,Schultzs,11-26-1988,$2.20,,
547,Amish couple.,4,2,,"Dover, OH",6-10-1988,,,
72,Black pots with metal handle and faces.  Very old - Grandma Friedland,4,2,Lou Friedland,,,,,Value
250,"Brown Liberty Bells.  Ceramic, made in Japan",4,2,Joyce & Louie,,1975,,,Value
134,Japanese Woman with two flower baskets held by ribbon.  Hand painted Shafford Japan on bottom,4,3,,"Old Aneo, Shawano",1971,$1.20,,Value
146,Orange and blue roses with butterflys on top.  In basket.  Grandma marked as old.  STicker says Souvenir of Whispering (pines?),4,3,,Shawano,1972,$1.20,,Value
405,Christmas bells.  Made in Japan,4,2,Lois & Augie,,1-1983,,,
145,Blue Hand painted.  House in country with trees and fields.  Made in Japan,4,2,Mary H,,1972,,,Value
313,Dutch boy and girl,4,2,Louie & Joyce,,1977,,,Value
565,Corset and Pantalons,4,2,,Flea Market in KY,7-16-1989,$4.00,,
354,"Red and white tennis shoes.  Enesco, 1977 on bottom.",4,2,Emma Oestreich,KY,3-8-1980,,,
532,Ball Brand Mason jars with metal white and blue caps.  Duplicate with 457,4,2,Mabel Elfe,,12-1987,,,Value?
815,"Santa and present bag ""S""anta's ""P""ackages.  Duplicate with 699",4,2,,"Thrift Store, Gillett",10-27-2001,$2.00,,
54,"Clowns.  1959, Japan on bottom.",4,2,Grandma Gipp,,1956,,,Value
408,White ceramic people.  Belonged to Ed Staude's mom,4,2,Ed and Jeanette Staude,,2-1983,,,Value
643,Opaque glass with cherries on stems,4,2,,"Flea Market, Suring",9-3-1994,$2.00,,
32,Bowling ball and Pin.,4,2,,"Shawano, WI",1969,$0.25,,Value
132,Pink Glass with glass holder.  Metal tops,4,3,Mary Hasselq,,1971,,,Value
489,"Brown glass with wood handle, plastic shaker top, metal bands.  Neopit, WI with state and deer (marked as old ones by Grandma)",A,2,Abe Astreen,,12-1984,,Location,Value
196,Steins with people on them.  Made in Japan.,4,2,Louie & Joyce,,1973,,,Value
31,"Dutch boy and girl ""Souvenir of Lookout Mtn, TN""",4,2,,Tennessee,1969,,,Value
661,White and blue ceramic snails with tray,4,3,Betty Gunn,,1995,,,Yes
732,Nutcracker and drum,4,2,,Bonduel,10-1998,$2.99,,
316,Blue and white ceramic.  Paul Revere imagery,4,2,,"T&C Grocery Store, Shawano",2-1978,$2.99,,Value
314,Blue and white ceramic.  Old time coffee grinder and phone.  Made in Japan,4,2,Louie & Joyce,,1977,,,Value
578,Blue and white ceramic.  Dollywood design.,4,2,,"Dollywood, TN",6-6-1990,$2.75,,
426,White ceramic with gold detail.  Mt. Rushmore design,4,2,,"Flea Market, Minocqua",10-1983,$0.20,,
526,Brown ceramic.  Large (2 separate pieces wrapped).  The Legend of the Sand Dollar,4,2,Louie & Joyce,Florida,3-1987,,,
160,Feet with red toenails,4,2,,"St. Croix, WI",1972,$0.89,,Value?
635,"White ceramic ""Give thanks"" religious quote with bird.",4,2,Emma Oestreich,,3-8-1994,,,
46,"Steins from Tahquamenon Falls, Newberry, MI.",4,2,,"Newberry, MI",1967,,,Value
45,Steins from Kentucky with map and imagery.,4,2,,Kentucky,1969,$1.00,,Value
452,White ceramic with brown lettering.  Grace Before/After meals prayers,4,2,Barb Schuettpelz,,3-1984,,,
6,Indians in Teepee,4,3,,"Winona, MN",1967,,,Value
633,Snowman (bottom layer separates),4,2,Jennifer and Jessica Staude,,12-1983,,Christmas,Yes
112,Indian heads with red feathers.,4,2,,"Wall Drug, SD",1970,,,Value
670,Mr. and Mrs. Turkey,4,2,Louie & Joyce,,12-1997,,Thanksgiving,
257,Ceramic Brown Arrowheads.  Sioux Pottery (made by Sioux Indians),4,2,Louie & Joyce,"Wall Drug, SD",1976,,,Value
400,Steins from Zurich,4,2,Lois & Augie,"Zurich, Germany",10-1982,,,Value
158,Indians in a canoe,4,3,,"Paul Bunyans, Minocqua, WI",1972,,,Value
88,Scottish Couple.  Marked old by Grandma,4,2,Louie & Joyce ,,1970,,,
342,Blue and white ceramic with windmills.  ,4,2,Dennis Staude,Holland,1979,,,Mom will have them 05/2023
303,White roosters with flower design.  Lego brand sticker,7,2,,Fish Creek,1977,$0.50,Animal,Yes
574,"""chocolate"" easter bunnies.  Artmark brand",7,2,,Blair,3-17-1990,$1.49,Easter,Maybe
582,"Loons.  ""For G&G MFG MPLS"" sticker.  Taiwan.",7,2,,"Minocqua, WI",6-23-1990,$5.99,Animal,
416,Plastic hen on nest,7,2,,"Green Bay, WI",6-1983,$0.75,Animal,Yes
936,2 piece house.  Grandma marked as old,7,2,,"Oconto Falls, WI",3-2010,,,Value
952,Mickey and Minnie Mouse ears on round black spheres.  Zak brand,7,2,"Trenton, Trevor, Taylor",,11-2011,,,
244,Tomato and red pepper,7,2,Dale Kuss,,1975,,Food,Yes
412,Mallard Ducks on a nest/pond,7,3,,"Copps, Shawano, WI",4-10-1983,$9.99,Animals,Yes
